location,age_group,year,week,date,value_0w,value_1w,value_2w,value_3w,value_4w,value_5w,value_6w,value_7w,value_8w,value_9w,value_10w,value_>10w
DE,00+,2022,52,2023-01-01,21296,3148.0,800.0,252.0,248.0,114.0,-111.0,55.0,114.0,0.0,0.0,106.0
DE,00+,2023,1,2023-01-08,17263,3309.0,1044.0,310.0,45.0,111.0,56.0,-121.0,287.0,-101.0,0.0,-6.0
DE,00+,2023,2,2023-01-15,11007,2184.0,214.0,239.0,0.0,277.0,-37.0,37.0,92.0,2.0,0.0,35.0
DE,00+,2023,3,2023-01-22,8480,2103.0,174.0,166.0,222.0,65.0,46.0,-9.0,-30.0,30.0,0.0,59.0
DE,00+,2023,4,2023-01-29,8923,1167.0,778.0,444.0,10.0,156.0,45.0,11.0,-66.0,-378.0,0.0,466.0
DE,00+,2023,5,2023-02-05,8647,1665.0,667.0,120.0,268.0,-10.0,18.0,-18.0,-156.0,312.0,0.0,-207.0
DE,00+,2023,6,2023-02-12,9868,1777.0,568.0,98.0,-13.0,133.0,33.0,-264.0,415.0,-110.0,0.0,132.0
DE,00+,2023,7,2023-02-19,9757,1565.0,767.0,-68.0,-12.0,123.0,-209.0,482.0,-10.0,63.0,20.0,-174.0
DE,00+,2023,8,2023-02-26,9762,2272.0,817.0,319.0,69.0,-206.0,211.0,199.0,64.0,26.0,0.0,101.0
DE,00+,2023,9,2023-03-05,10090,2540.0,487.0,343.0,-150.0,354.0,-1.0,106.0,97.0,-19.0,46.0,-9.0
DE,00+,2023,10,2023-03-12,11191,2085.0,405.0,129.0,484.0,-24.0,233.0,-82.0,90.0,-10.0,0.0,48.0
DE,00+,2023,11,2023-03-19,10848,2501.0,683.0,681.0,53.0,52.0,47.0,89.0,-11.0,1.0,0.0,187.0
DE,00+,2023,12,2023-03-26,10859,2229.0,891.0,181.0,186.0,75.0,-20.0,-11.0,-78.0,-12.0,0.0,166.0
DE,00+,2023,13,2023-04-02,10090,1371.0,217.0,360.0,273.0,-68.0,48.0,-83.0,96.0,0.0,0.0,83.0
DE,00+,2023,14,2023-04-09,6635,4050.0,828.0,243.0,210.0,104.0,32.0,202.0,111.0,35.0,0.0,103.0
DE,00+,2023,15,2023-04-16,8369,1361.0,694.0,-7.0,-4.0,-100.0,107.0,111.0,-66.0,-162.0,0.0,6.0
DE,00+,2023,16,2023-04-23,8156,1379.0,218.0,218.0,27.0,89.0,222.0,-65.0,59.0,-7.0,0.0,-70.0
DE,00+,2023,17,2023-04-30,5760,2775.0,552.0,69.0,155.0,111.0,-171.0,-53.0,107.0,114.0,0.0,-25.0
DE,00+,2023,18,2023-05-07,7650,1437.0,384.0,173.0,222.0,47.0,169.0,104.0,6.0,6.0,0.0,-56.0
DE,00+,2023,19,2023-05-14,7099,1425.0,566.0,221.0,51.0,57.0,106.0,4.0,4.0,-8.0,0.0,-131.0
DE,00+,2023,20,2023-05-21,6420,1229.0,665.0,276.0,55.0,109.0,2.0,1.0,-3.0,3.0,0.0,-28.0
DE,00+,2023,21,2023-05-28,5099,1885.0,723.0,165.0,111.0,220.0,-111.0,2.0,-2.0,0.0,0.0,-28.0
DE,00+,2023,22,2023-06-04,6540,1277.0,386.0,111.0,0.0,0.0,0.0,-111.0,0.0,0.0,0.0,110.0
DE,00+,2023,23,2023-06-11,5832,825.0,556.0,327.0,-2.0,5.0,106.0,-109.0,111.0,137.0,0.0,-57.0
DE,00+,2023,24,2023-06-18,5552,1220.0,437.0,-115.0,9.0,102.0,4.0,0.0,158.0,-162.0,0.0,28.0
DE,00+,2023,25,2023-06-25,5231,1426.0,105.0,120.0,-120.0,-105.0,110.0,179.0,-184.0,106.0,28.0,-162.0
DE,00+,2023,26,2023-07-02,4557,875.0,349.0,205.0,-103.0,0.0,116.0,-13.0,-119.0,154.0,-30.0,-172.0
DE,00+,2023,27,2023-07-09,5099,792.0,428.0,6.0,111.0,89.0,15.0,-117.0,41.0,-25.0,0.0,-38.0
DE,00+,2023,28,2023-07-16,5120,755.0,8.0,221.0,105.0,-1.0,-7.0,156.0,85.0,-169.0,0.0,45.0
DE,00+,2023,29,2023-07-23,4877,785.0,111.0,226.0,-124.0,-119.0,165.0,79.0,-278.0,34.0,0.0,-20.0
DE,00+,2023,30,2023-07-30,3342,1547.0,268.0,-58.0,101.0,175.0,72.0,-166.0,30.0,0.0,0.0,9.0
DE,00+,2023,31,2023-08-06,4115,936.0,48.0,-11.0,-39.0,68.0,-167.0,27.0,0.0,111.0,0.0,-183.0
DE,00+,2023,32,2023-08-13,4736,1028.0,103.0,173.0,81.0,-179.0,36.0,0.0,111.0,-107.0,-163.0,166.0
DE,00+,2023,33,2023-08-20,6319,1105.0,265.0,214.0,-86.0,163.0,0.0,0.0,-55.0,388.0,0.0,-498.0
DE,00+,2023,34,2023-08-27,5645,1059.0,312.0,-81.0,-67.0,111.0,56.0,-54.0,501.0,0.0,0.0,-249.0
DE,00+,2023,35,2023-09-03,5500,1631.0,-86.0,268.0,0.0,111.0,-109.0,167.0,0.0,0.0,0.0,-83.0
DE,00+,2023,36,2023-09-10,7245,1234.0,502.0,111.0,223.0,-113.0,-57.0,0.0,0.0,0.0,0.0,166.0
DE,00+,2023,37,2023-09-17,6273,1707.0,334.0,222.0,0.0,-223.0,0.0,0.0,0.0,0.0,333.0,0.0
DE,00+,2023,38,2023-09-24,6646,1445.0,445.0,-111.0,-112.0,0.0,0.0,0.0,0.0,167.0,83.0,-83.0
DE,00+,2023,39,2023-10-01,7535,1001.0,333.0,276.0,0.0,0.0,0.0,0.0,83.0,0.0,-83.0,83.0
DE,00+,2023,40,2023-10-08,6646,1668.0,831.0,0.0,0.0,0.0,0.0,249.0,0.0,0.0,-83.0,0.0
DE,00+,2023,41,2023-10-15,8203,1773.0,831.0,0.0,0.0,0.0,167.0,-83.0,-84.0,0.0,,
DE,00+,2023,42,2023-10-22,9145,2494.0,0.0,831.0,0.0,0.0,0.0,0.0,0.0,,,
DE,00+,2023,43,2023-10-29,9145,2494.0,831.0,0.0,-166.0,83.0,-83.0,83.0,,,,
DE,00+,2023,44,2023-11-05,9976,2494.0,832.0,498.0,0.0,167.0,0.0,,,,,
DE,00+,2023,45,2023-11-12,10807,1663.0,167.0,415.0,250.0,83.0,,,,,,
DE,00+,2023,46,2023-11-19,10807,2661.0,665.0,249.0,167.0,,,,,,,
DE,00+,2023,47,2023-11-26,11140,2910.0,831.0,416.0,,,,,,,,
DE,00+,2023,48,2023-12-03,12304,2993.0,831.0,,,,,,,,,
DE,00+,2023,49,2023-12-10,13634,3243.0,,,,,,,,,,
DE,00+,2023,50,2023-12-17,15297,,,,,,,,,,,
DE,00-04,2022,52,2023-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4164.0
DE,00-04,2023,1,2023-01-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3491.0
DE,00-04,2023,2,2023-01-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2384.0
DE,00-04,2023,3,2023-01-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2534.0
DE,00-04,2023,4,2023-01-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2431.0
DE,00-04,2023,5,2023-02-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2297.0
DE,00-04,2023,6,2023-02-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2297.0
DE,00-04,2023,7,2023-02-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.0
DE,00-04,2023,8,2023-02-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1913.0
DE,00-04,2023,9,2023-03-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2297.0
DE,00-04,2023,10,2023-03-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2720.0
DE,00-04,2023,11,2023-03-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2317.0
DE,00-04,2023,12,2023-03-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.0
DE,00-04,2023,13,2023-04-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2032.0
DE,00-04,2023,14,2023-04-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1811.0
DE,00-04,2023,15,2023-04-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1475.0
DE,00-04,2023,16,2023-04-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360.0
DE,00-04,2023,17,2023-04-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1609.0
DE,00-04,2023,18,2023-05-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1391.0
DE,00-04,2023,19,2023-05-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1510.0
DE,00-04,2023,20,2023-05-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0
DE,00-04,2023,21,2023-05-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1158.0
DE,00-04,2023,22,2023-06-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.0
DE,00-04,2023,23,2023-06-11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,873.0
DE,00-04,2023,24,2023-06-18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.0
DE,00-04,2023,25,2023-06-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822.0
DE,00-04,2023,26,2023-07-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755.0
DE,00-04,2023,27,2023-07-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822.0
DE,00-04,2023,28,2023-07-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755.0
DE,00-04,2023,29,2023-07-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739.0
DE,00-04,2023,30,2023-07-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.0
DE,00-04,2023,31,2023-08-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0
DE,00-04,2023,32,2023-08-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751.0,4.0
DE,00-04,2023,33,2023-08-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,949.0,0.0,-8.0
DE,00-04,2023,34,2023-08-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1067.0,0.0,0.0,8.0
