"","model","target_type","forecast_date","target_end_date","location","age_group","pathogen","mean","q0.025","q0.25","q0.5","q0.75","q0.975","retrospective"
"1","KIT-epinowcast","inc case","2022-12-18","2022-11-27","DE","00+","seasonal_influenza",14858,14858,14858,14858,14858,14858,FALSE
"2","KIT-epinowcast","inc case","2022-12-18","2022-12-04","DE","00+","seasonal_influenza",30377.978,30327.975,30358,30374.5,30393.25,30439,FALSE
"3","KIT-epinowcast","inc case","2022-12-18","2022-12-11","DE","00+","seasonal_influenza",48712.317,48376,48580,48693,48826,49141.025,FALSE
"4","KIT-epinowcast","inc case","2022-12-18","2022-12-18","DE","00+","seasonal_influenza",61937.397,58545.475,60267.25,61533.5,63110,67831,FALSE
"11","KIT-KEW","inc case","2022-12-18","2022-11-20","DE","00+","seasonal_influenza",6835,6835,6835,6835,6835,6835,FALSE
"9","KIT-KEW","inc case","2022-12-18","2022-11-27","DE","00+","seasonal_influenza",14943.686,14899,14926,14941,14959,15004,FALSE
"17","KIT-KEW","inc case","2022-12-18","2022-12-04","DE","00+","seasonal_influenza",30611.586,30489,30560,30602,30652,30784,FALSE
"25","KIT-KEW","inc case","2022-12-18","2022-12-11","DE","00+","seasonal_influenza",49202.835,48780,49018,49182,49354,49748,FALSE
"33","KIT-KEW","inc case","2022-12-18","2022-12-18","DE","00+","seasonal_influenza",61365.68,58402,60012,61114,62484,65711,FALSE
"41","KIT-KEW","inc case","2022-12-18","2022-11-20","DE","00-04","seasonal_influenza",924,924,924,924,924,924,FALSE
"49","KIT-KEW","inc case","2022-12-18","2022-11-27","DE","00-04","seasonal_influenza",1799.73,1793,1796,1799,1803,1809,FALSE
"57","KIT-KEW","inc case","2022-12-18","2022-12-04","DE","00-04","seasonal_influenza",3474.063,3451,3465,3472,3482,3506,FALSE
"65","KIT-KEW","inc case","2022-12-18","2022-12-11","DE","00-04","seasonal_influenza",5460.757,5390,5430,5456,5485,5555,FALSE
"73","KIT-KEW","inc case","2022-12-18","2022-12-18","DE","00-04","seasonal_influenza",6811.33,6328,6564,6745,6978,7686,FALSE
"81","KIT-KEW","inc case","2022-12-18","2022-11-20","DE","05-14","seasonal_influenza",2366,2366,2366,2366,2366,2366,FALSE
"89","KIT-KEW","inc case","2022-12-18","2022-11-27","DE","05-14","seasonal_influenza",5271.42,5255,5264,5269,5277,5296,FALSE
"97","KIT-KEW","inc case","2022-12-18","2022-12-04","DE","05-14","seasonal_influenza",9980.242,9935,9961,9978,9996,10038,FALSE
"105","KIT-KEW","inc case","2022-12-18","2022-12-11","DE","05-14","seasonal_influenza",12945.159,12798,12886,12935,12996,13132,FALSE
"113","KIT-KEW","inc case","2022-12-18","2022-12-18","DE","05-14","seasonal_influenza",13092.893,12048,12631,12994,13458,14598,FALSE
"121","KIT-KEW","inc case","2022-12-18","2022-11-20","DE","15-34","seasonal_influenza",1674,1674,1674,1674,1674,1674,FALSE
"129","KIT-KEW","inc case","2022-12-18","2022-11-27","DE","15-34","seasonal_influenza",3548.466,3537,3543,3547,3553,3566,FALSE
"137","KIT-KEW","inc case","2022-12-18","2022-12-04","DE","15-34","seasonal_influenza",7532.405,7497,7515,7528,7545,7587,FALSE
"145","KIT-KEW","inc case","2022-12-18","2022-12-11","DE","15-34","seasonal_influenza",13164.565,13028,13106,13152,13213,13351,FALSE
"153","KIT-KEW","inc case","2022-12-18","2022-12-18","DE","15-34","seasonal_influenza",17115.906,15707,16398,16884,17612,20138,FALSE
"161","KIT-KEW","inc case","2022-12-18","2022-11-20","DE","35-59","seasonal_influenza",1328,1328,1328,1328,1328,1328,FALSE
"169","KIT-KEW","inc case","2022-12-18","2022-11-27","DE","35-59","seasonal_influenza",2981.799,2972,2978,2981,2985,2996,FALSE
"177","KIT-KEW","inc case","2022-12-18","2022-12-04","DE","35-59","seasonal_influenza",6591.831,6568,6581,6590,6600,6630,FALSE
"185","KIT-KEW","inc case","2022-12-18","2022-12-11","DE","35-59","seasonal_influenza",11430.184,11344,11393,11422,11457,11563,FALSE
"193","KIT-KEW","inc case","2022-12-18","2022-12-18","DE","35-59","seasonal_influenza",16392.569,14866,15596,16190,16973,19060,FALSE
"201","KIT-KEW","inc case","2022-12-18","2022-11-20","DE","60-79","seasonal_influenza",396,396,396,396,396,396,FALSE
"209","KIT-KEW","inc case","2022-12-18","2022-11-27","DE","60-79","seasonal_influenza",938.641,934,936,938,940,946,FALSE
"217","KIT-KEW","inc case","2022-12-18","2022-12-04","DE","60-79","seasonal_influenza",2133.171,2121,2128,2133,2138,2150,FALSE
"225","KIT-KEW","inc case","2022-12-18","2022-12-11","DE","60-79","seasonal_influenza",4216.737,4177,4200,4214,4231,4276,FALSE
"233","KIT-KEW","inc case","2022-12-18","2022-12-18","DE","60-79","seasonal_influenza",6894.292,6553,6735,6862,7015,7411,FALSE
"241","KIT-KEW","inc case","2022-12-18","2022-11-20","DE","80+","seasonal_influenza",147,147,147,147,147,147,FALSE
"249","KIT-KEW","inc case","2022-12-18","2022-11-27","DE","80+","seasonal_influenza",397.282,395,396,397,398,401,FALSE
"257","KIT-KEW","inc case","2022-12-18","2022-12-04","DE","80+","seasonal_influenza",863.955,857,861,864,866,873,FALSE
"265","KIT-KEW","inc case","2022-12-18","2022-12-11","DE","80+","seasonal_influenza",1872.05,1853,1864,1872,1879,1897,FALSE
"273","KIT-KEW","inc case","2022-12-18","2022-12-18","DE","80+","seasonal_influenza",3522.167,3375,3449,3508,3580,3757,FALSE
"281","KIT-KEW","inc case","2022-12-18","2022-11-20","DE-BB","00+","seasonal_influenza",97,97,97,97,97,97,FALSE
"289","KIT-KEW","inc case","2022-12-18","2022-11-27","DE-BB","00+","seasonal_influenza",379.002,378,378,378,379,383,FALSE
"297","KIT-KEW","inc case","2022-12-18","2022-12-04","DE-BB","00+","seasonal_influenza",1189.385,1186,1187,1188,1190,1200,FALSE
"305","KIT-KEW","inc case","2022-12-18","2022-12-11","DE-BB","00+","seasonal_influenza",2435.254,2424,2428,2433,2439,2460,FALSE
"313","KIT-KEW","inc case","2022-12-18","2022-12-18","DE-BB","00+","seasonal_influenza",3572.705,3283,3428,3549,3683,4039,FALSE
"321","KIT-KEW","inc case","2022-12-18","2022-11-20","DE-BE","00+","seasonal_influenza",129,129,129,129,129,129,FALSE
"329","KIT-KEW","inc case","2022-12-18","2022-11-27","DE-BE","00+","seasonal_influenza",251.848,251,251,252,252,255,FALSE
"337","KIT-KEW","inc case","2022-12-18","2022-12-04","DE-BE","00+","seasonal_influenza",797.08,792,795,796,799,806,FALSE
"345","KIT-KEW","inc case","2022-12-18","2022-12-11","DE-BE","00+","seasonal_influenza",1499.182,1486,1493,1498,1504,1521,FALSE
"353","KIT-KEW","inc case","2022-12-18","2022-12-18","DE-BE","00+","seasonal_influenza",2244.999,2196,2220,2241,2263,2325,FALSE
"361","KIT-KEW","inc case","2022-12-18","2022-11-20","DE-BW","00+","seasonal_influenza",656,656,656,656,656,656,FALSE
"369","KIT-KEW","inc case","2022-12-18","2022-11-27","DE-BW","00+","seasonal_influenza",1318.897,1317,1317,1318,1320,1324,FALSE
"377","KIT-KEW","inc case","2022-12-18","2022-12-04","DE-BW","00+","seasonal_influenza",2234.796,2230,2232,2234,2237,2245,FALSE
"385","KIT-KEW","inc case","2022-12-18","2022-12-11","DE-BW","00+","seasonal_influenza",3943.78,3926,3936,3942,3950,3969,FALSE
"393","KIT-KEW","inc case","2022-12-18","2022-12-18","DE-BW","00+","seasonal_influenza",5288.854,5051,5159,5260,5387,5696,FALSE
"401","KIT-KEW","inc case","2022-12-18","2022-11-20","DE-BY","00+","seasonal_influenza",1928,1928,1928,1928,1928,1928,FALSE
"409","KIT-KEW","inc case","2022-12-18","2022-11-27","DE-BY","00+","seasonal_influenza",3860.892,3849,3855,3860,3865,3881,FALSE
"417","KIT-KEW","inc case","2022-12-18","2022-12-04","DE-BY","00+","seasonal_influenza",6411.958,6384,6399,6409,6422,6457,FALSE
"425","KIT-KEW","inc case","2022-12-18","2022-12-11","DE-BY","00+","seasonal_influenza",9835.949,9745,9796,9830,9869,9966,FALSE
"433","KIT-KEW","inc case","2022-12-18","2022-12-18","DE-BY","00+","seasonal_influenza",11558.081,10752,11171,11474,11865,12901,FALSE
"441","KIT-KEW","inc case","2022-12-18","2022-11-20","DE-HB","00+","seasonal_influenza",42,42,42,42,42,42,FALSE
"449","KIT-KEW","inc case","2022-12-18","2022-11-27","DE-HB","00+","seasonal_influenza",26.242,26,26,26,26,28,FALSE
"457","KIT-KEW","inc case","2022-12-18","2022-12-04","DE-HB","00+","seasonal_influenza",27.392,27,27,27,28,29,FALSE
"465","KIT-KEW","inc case","2022-12-18","2022-12-11","DE-HB","00+","seasonal_influenza",40.79,40,40,40,41,44,FALSE
"473","KIT-KEW","inc case","2022-12-18","2022-12-18","DE-HB","00+","seasonal_influenza",56.256,51,54,56,58,64,FALSE
"481","KIT-KEW","inc case","2022-12-18","2022-11-20","DE-HE","00+","seasonal_influenza",569,569,569,569,569,569,FALSE
"489","KIT-KEW","inc case","2022-12-18","2022-11-27","DE-HE","00+","seasonal_influenza",983.521,979,981,983,985,991,FALSE
"497","KIT-KEW","inc case","2022-12-18","2022-12-04","DE-HE","00+","seasonal_influenza",1693.146,1684,1689,1692,1697,1707,FALSE
"505","KIT-KEW","inc case","2022-12-18","2022-12-11","DE-HE","00+","seasonal_influenza",2021.957,2003,2013,2020,2029,2052,FALSE
"513","KIT-KEW","inc case","2022-12-18","2022-12-18","DE-HE","00+","seasonal_influenza",2278.73,2208,2243,2272,2306,2390,FALSE
"521","KIT-KEW","inc case","2022-12-18","2022-11-20","DE-HH","00+","seasonal_influenza",141,141,141,141,141,141,FALSE
"529","KIT-KEW","inc case","2022-12-18","2022-11-27","DE-HH","00+","seasonal_influenza",263.814,262,262,263,265,269,FALSE
"537","KIT-KEW","inc case","2022-12-18","2022-12-04","DE-HH","00+","seasonal_influenza",527.384,519,524,527,530,540,FALSE
"545","KIT-KEW","inc case","2022-12-18","2022-12-11","DE-HH","00+","seasonal_influenza",871.98,852,864,870,879,901,FALSE
"553","KIT-KEW","inc case","2022-12-18","2022-12-18","DE-HH","00+","seasonal_influenza",1154.081,1089,1123,1149,1177,1253,FALSE
