location,age_group,year,week,date,value
DE,00+,2024,21,2024-05-26,63
DE,00+,2024,22,2024-06-02,86
DE,00+,2024,23,2024-06-09,61
DE,00+,2024,24,2024-06-16,40
DE,00+,2024,25,2024-06-23,35
DE,00+,2024,26,2024-06-30,36
DE,00+,2024,27,2024-07-07,49
DE,00+,2024,28,2024-07-14,30
DE,00+,2024,29,2024-07-21,24
DE,00+,2024,30,2024-07-28,18
DE,00+,2024,31,2024-08-04,14
DE,00+,2024,32,2024-08-11,29
DE,00+,2024,33,2024-08-18,33
DE,00+,2024,34,2024-08-25,53
DE,00+,2024,35,2024-09-01,35
DE,00+,2024,36,2024-09-08,27
DE,00+,2024,37,2024-09-15,22
DE,00+,2024,38,2024-09-22,39
DE,00+,2024,39,2024-09-29,59
DE,00+,2024,40,2024-10-06,24
DE,00+,2024,41,2024-10-13,35
DE,00+,2024,42,2024-10-20,58
DE,00+,2024,43,2024-10-27,57
DE,00+,2024,44,2024-11-03,87
DE,00+,2024,45,2024-11-10,95
DE,00+,2024,46,2024-11-17,150
DE,00+,2024,47,2024-11-24,221
DE,00+,2024,48,2024-12-01,373
DE,00+,2024,49,2024-12-08,433
DE,00+,2024,50,2024-12-15,689
DE,00+,2024,51,2024-12-22,995
DE,00+,2024,52,2024-12-29,625
DE,00+,2025,1,2025-01-05,1013
DE,00+,2025,2,2025-01-12,1497
DE,00+,2025,3,2025-01-19,1869
DE,00+,2025,4,2025-01-26,3057
DE,00+,2025,5,2025-02-02,3958
DE,00+,2025,6,2025-02-09,4387
DE,00+,2025,7,2025-02-16,4993
DE,00+,2025,8,2025-02-23,5485
DE,00+,2025,9,2025-03-02,5758
DE,00+,2025,10,2025-03-09,5505
DE,00+,2025,11,2025-03-16,5390
DE,00+,2025,12,2025-03-23,4606
DE,00+,2025,13,2025-03-30,2387
DE,00-04,2024,21,2024-05-26,16
DE,00-04,2024,22,2024-06-02,23
DE,00-04,2024,23,2024-06-09,18
DE,00-04,2024,24,2024-06-16,6
DE,00-04,2024,25,2024-06-23,9
DE,00-04,2024,26,2024-06-30,6
DE,00-04,2024,27,2024-07-07,10
DE,00-04,2024,28,2024-07-14,8
DE,00-04,2024,29,2024-07-21,4
DE,00-04,2024,30,2024-07-28,4
DE,00-04,2024,31,2024-08-04,2
DE,00-04,2024,32,2024-08-11,7
DE,00-04,2024,33,2024-08-18,4
DE,00-04,2024,34,2024-08-25,12
DE,00-04,2024,35,2024-09-01,11
DE,00-04,2024,36,2024-09-08,6
DE,00-04,2024,37,2024-09-15,3
DE,00-04,2024,38,2024-09-22,12
DE,00-04,2024,39,2024-09-29,11
DE,00-04,2024,40,2024-10-06,2
DE,00-04,2024,41,2024-10-13,16
DE,00-04,2024,42,2024-10-20,20
DE,00-04,2024,43,2024-10-27,21
DE,00-04,2024,44,2024-11-03,42
DE,00-04,2024,45,2024-11-10,49
DE,00-04,2024,46,2024-11-17,80
DE,00-04,2024,47,2024-11-24,130
DE,00-04,2024,48,2024-12-01,235
DE,00-04,2024,49,2024-12-08,269
DE,00-04,2024,50,2024-12-15,435
DE,00-04,2024,51,2024-12-22,608
DE,00-04,2024,52,2024-12-29,385
DE,00-04,2025,1,2025-01-05,550
DE,00-04,2025,2,2025-01-12,577
DE,00-04,2025,3,2025-01-19,818
DE,00-04,2025,4,2025-01-26,1511
DE,00-04,2025,5,2025-02-02,1863
DE,00-04,2025,6,2025-02-09,1964
DE,00-04,2025,7,2025-02-16,2090
DE,00-04,2025,8,2025-02-23,2104
DE,00-04,2025,9,2025-03-02,2053
DE,00-04,2025,10,2025-03-09,1964
DE,00-04,2025,11,2025-03-16,1793
DE,00-04,2025,12,2025-03-23,1521
DE,00-04,2025,13,2025-03-30,774
DE,05-14,2024,21,2024-05-26,8
DE,05-14,2024,22,2024-06-02,13
DE,05-14,2024,23,2024-06-09,7
DE,05-14,2024,24,2024-06-16,4
DE,05-14,2024,25,2024-06-23,1
DE,05-14,2024,26,2024-06-30,3
DE,05-14,2024,27,2024-07-07,4
DE,05-14,2024,28,2024-07-14,1
DE,05-14,2024,29,2024-07-21,2
DE,05-14,2024,30,2024-07-28,3
DE,05-14,2024,31,2024-08-04,1
DE,05-14,2024,32,2024-08-11,6
DE,05-14,2024,33,2024-08-18,8
DE,05-14,2024,34,2024-08-25,7
DE,05-14,2024,35,2024-09-01,9
DE,05-14,2024,36,2024-09-08,4
DE,05-14,2024,37,2024-09-15,5
DE,05-14,2024,38,2024-09-22,6
DE,05-14,2024,39,2024-09-29,7
DE,05-14,2024,40,2024-10-06,2
DE,05-14,2024,41,2024-10-13,4
DE,05-14,2024,42,2024-10-20,3
DE,05-14,2024,43,2024-10-27,3
DE,05-14,2024,44,2024-11-03,3
DE,05-14,2024,45,2024-11-10,7
DE,05-14,2024,46,2024-11-17,14
DE,05-14,2024,47,2024-11-24,21
DE,05-14,2024,48,2024-12-01,32
DE,05-14,2024,49,2024-12-08,36
DE,05-14,2024,50,2024-12-15,68
DE,05-14,2024,51,2024-12-22,108
DE,05-14,2024,52,2024-12-29,52
DE,05-14,2025,1,2025-01-05,59
DE,05-14,2025,2,2025-01-12,103
DE,05-14,2025,3,2025-01-19,165
DE,05-14,2025,4,2025-01-26,330
DE,05-14,2025,5,2025-02-02,428
DE,05-14,2025,6,2025-02-09,408
DE,05-14,2025,7,2025-02-16,473
DE,05-14,2025,8,2025-02-23,500
DE,05-14,2025,9,2025-03-02,522
DE,05-14,2025,10,2025-03-09,430
DE,05-14,2025,11,2025-03-16,432
DE,05-14,2025,12,2025-03-23,389
DE,05-14,2025,13,2025-03-30,201
DE,15-34,2024,21,2024-05-26,12
DE,15-34,2024,22,2024-06-02,15
DE,15-34,2024,23,2024-06-09,3
DE,15-34,2024,24,2024-06-16,4
DE,15-34,2024,25,2024-06-23,3
DE,15-34,2024,26,2024-06-30,3
DE,15-34,2024,27,2024-07-07,5
DE,15-34,2024,28,2024-07-14,2
DE,15-34,2024,29,2024-07-21,1
DE,15-34,2024,30,2024-07-28,1
DE,15-34,2024,31,2024-08-04,0
DE,15-34,2024,32,2024-08-11,5
DE,15-34,2024,33,2024-08-18,6
DE,15-34,2024,34,2024-08-25,14
DE,15-34,2024,35,2024-09-01,4
DE,15-34,2024,36,2024-09-08,4
DE,15-34,2024,37,2024-09-15,5
DE,15-34,2024,38,2024-09-22,7
DE,15-34,2024,39,2024-09-29,12
DE,15-34,2024,40,2024-10-06,4
DE,15-34,2024,41,2024-10-13,4
DE,15-34,2024,42,2024-10-20,8
DE,15-34,2024,43,2024-10-27,7
DE,15-34,2024,44,2024-11-03,11
DE,15-34,2024,45,2024-11-10,9
DE,15-34,2024,46,2024-11-17,11
DE,15-34,2024,47,2024-11-24,22
DE,15-34,2024,48,2024-12-01,24
DE,15-34,2024,49,2024-12-08,29
DE,15-34,2024,50,2024-12-15,44
DE,15-34,2024,51,2024-12-22,52
