location,age_group,year,week,date,value
DE,00+,2024,21,2024-05-26,63
DE,00+,2024,22,2024-06-02,86
DE,00+,2024,23,2024-06-09,61
DE,00+,2024,24,2024-06-16,40
DE,00+,2024,25,2024-06-23,35
DE,00+,2024,26,2024-06-30,36
DE,00+,2024,27,2024-07-07,49
DE,00+,2024,28,2024-07-14,30
DE,00+,2024,29,2024-07-21,24
DE,00+,2024,30,2024-07-28,18
DE,00+,2024,31,2024-08-04,14
DE,00+,2024,32,2024-08-11,29
DE,00+,2024,33,2024-08-18,33
DE,00+,2024,34,2024-08-25,53
DE,00+,2024,35,2024-09-01,35
DE,00+,2024,36,2024-09-08,27
DE,00+,2024,37,2024-09-15,22
DE,00+,2024,38,2024-09-22,39
DE,00+,2024,39,2024-09-29,59
DE,00+,2024,40,2024-10-06,24
DE,00+,2024,41,2024-10-13,35
DE,00+,2024,42,2024-10-20,58
DE,00+,2024,43,2024-10-27,57
DE,00+,2024,44,2024-11-03,87
DE,00+,2024,45,2024-11-10,94
DE,00+,2024,46,2024-11-17,149
DE,00+,2024,47,2024-11-24,101
DE,00-04,2024,21,2024-05-26,16
DE,00-04,2024,22,2024-06-02,23
DE,00-04,2024,23,2024-06-09,18
DE,00-04,2024,24,2024-06-16,6
DE,00-04,2024,25,2024-06-23,9
DE,00-04,2024,26,2024-06-30,6
DE,00-04,2024,27,2024-07-07,10
DE,00-04,2024,28,2024-07-14,8
DE,00-04,2024,29,2024-07-21,4
DE,00-04,2024,30,2024-07-28,4
DE,00-04,2024,31,2024-08-04,2
DE,00-04,2024,32,2024-08-11,7
DE,00-04,2024,33,2024-08-18,4
DE,00-04,2024,34,2024-08-25,12
DE,00-04,2024,35,2024-09-01,11
DE,00-04,2024,36,2024-09-08,6
DE,00-04,2024,37,2024-09-15,3
DE,00-04,2024,38,2024-09-22,12
DE,00-04,2024,39,2024-09-29,11
DE,00-04,2024,40,2024-10-06,2
DE,00-04,2024,41,2024-10-13,16
DE,00-04,2024,42,2024-10-20,20
DE,00-04,2024,43,2024-10-27,21
DE,00-04,2024,44,2024-11-03,42
DE,00-04,2024,45,2024-11-10,48
DE,00-04,2024,46,2024-11-17,80
DE,00-04,2024,47,2024-11-24,60
DE,05-14,2024,21,2024-05-26,8
DE,05-14,2024,22,2024-06-02,13
DE,05-14,2024,23,2024-06-09,7
DE,05-14,2024,24,2024-06-16,4
DE,05-14,2024,25,2024-06-23,1
DE,05-14,2024,26,2024-06-30,3
DE,05-14,2024,27,2024-07-07,4
DE,05-14,2024,28,2024-07-14,1
DE,05-14,2024,29,2024-07-21,2
DE,05-14,2024,30,2024-07-28,3
DE,05-14,2024,31,2024-08-04,1
DE,05-14,2024,32,2024-08-11,6
DE,05-14,2024,33,2024-08-18,8
DE,05-14,2024,34,2024-08-25,7
DE,05-14,2024,35,2024-09-01,9
DE,05-14,2024,36,2024-09-08,4
DE,05-14,2024,37,2024-09-15,5
DE,05-14,2024,38,2024-09-22,6
DE,05-14,2024,39,2024-09-29,7
DE,05-14,2024,40,2024-10-06,2
DE,05-14,2024,41,2024-10-13,4
DE,05-14,2024,42,2024-10-20,3
DE,05-14,2024,43,2024-10-27,3
DE,05-14,2024,44,2024-11-03,3
DE,05-14,2024,45,2024-11-10,7
DE,05-14,2024,46,2024-11-17,14
DE,05-14,2024,47,2024-11-24,8
DE,15-34,2024,21,2024-05-26,12
DE,15-34,2024,22,2024-06-02,15
DE,15-34,2024,23,2024-06-09,3
DE,15-34,2024,24,2024-06-16,4
DE,15-34,2024,25,2024-06-23,3
DE,15-34,2024,26,2024-06-30,3
DE,15-34,2024,27,2024-07-07,5
DE,15-34,2024,28,2024-07-14,2
DE,15-34,2024,29,2024-07-21,1
DE,15-34,2024,30,2024-07-28,1
DE,15-34,2024,31,2024-08-04,0
DE,15-34,2024,32,2024-08-11,5
DE,15-34,2024,33,2024-08-18,6
DE,15-34,2024,34,2024-08-25,14
DE,15-34,2024,35,2024-09-01,4
DE,15-34,2024,36,2024-09-08,4
DE,15-34,2024,37,2024-09-15,5
DE,15-34,2024,38,2024-09-22,7
DE,15-34,2024,39,2024-09-29,12
DE,15-34,2024,40,2024-10-06,4
DE,15-34,2024,41,2024-10-13,4
DE,15-34,2024,42,2024-10-20,8
DE,15-34,2024,43,2024-10-27,7
DE,15-34,2024,44,2024-11-03,11
DE,15-34,2024,45,2024-11-10,9
DE,15-34,2024,46,2024-11-17,11
DE,15-34,2024,47,2024-11-24,7
DE,35-59,2024,21,2024-05-26,6
DE,35-59,2024,22,2024-06-02,10
DE,35-59,2024,23,2024-06-09,12
DE,35-59,2024,24,2024-06-16,7
DE,35-59,2024,25,2024-06-23,8
DE,35-59,2024,26,2024-06-30,5
DE,35-59,2024,27,2024-07-07,10
DE,35-59,2024,28,2024-07-14,6
DE,35-59,2024,29,2024-07-21,8
DE,35-59,2024,30,2024-07-28,2
DE,35-59,2024,31,2024-08-04,5
DE,35-59,2024,32,2024-08-11,5
DE,35-59,2024,33,2024-08-18,8
DE,35-59,2024,34,2024-08-25,13
DE,35-59,2024,35,2024-09-01,7
DE,35-59,2024,36,2024-09-08,5
DE,35-59,2024,37,2024-09-15,7
DE,35-59,2024,38,2024-09-22,5
DE,35-59,2024,39,2024-09-29,10
DE,35-59,2024,40,2024-10-06,6
DE,35-59,2024,41,2024-10-13,3
DE,35-59,2024,42,2024-10-20,9
DE,35-59,2024,43,2024-10-27,15
DE,35-59,2024,44,2024-11-03,13
DE,35-59,2024,45,2024-11-10,10
DE,35-59,2024,46,2024-11-17,22
DE,35-59,2024,47,2024-11-24,10
DE,60-79,2024,21,2024-05-26,10
DE,60-79,2024,22,2024-06-02,11
DE,60-79,2024,23,2024-06-09,12
DE,60-79,2024,24,2024-06-16,12
DE,60-79,2024,25,2024-06-23,7
DE,60-79,2024,26,2024-06-30,10
DE,60-79,2024,27,2024-07-07,11
DE,60-79,2024,28,2024-07-14,8
DE,60-79,2024,29,2024-07-21,7
DE,60-79,2024,30,2024-07-28,5
DE,60-79,2024,31,2024-08-04,3
DE,60-79,2024,32,2024-08-11,5
DE,60-79,2024,33,2024-08-18,5
DE,60-79,2024,34,2024-08-25,3
DE,60-79,2024,35,2024-09-01,3
DE,60-79,2024,36,2024-09-08,5
DE,60-79,2024,37,2024-09-15,2
DE,60-79,2024,38,2024-09-22,4
DE,60-79,2024,39,2024-09-29,10
DE,60-79,2024,40,2024-10-06,6
DE,60-79,2024,41,2024-10-13,6
DE,60-79,2024,42,2024-10-20,11
DE,60-79,2024,43,2024-10-27,8
DE,60-79,2024,44,2024-11-03,11
DE,60-79,2024,45,2024-11-10,14
DE,60-79,2024,46,2024-11-17,14
DE,60-79,2024,47,2024-11-24,9
DE,80+,2024,21,2024-05-26,11
DE,80+,2024,22,2024-06-02,14
DE,80+,2024,23,2024-06-09,9
DE,80+,2024,24,2024-06-16,7
